変更区分,観察名称管理番号（コード）,検索大分類１,検索大分類２,検索大分類３,検索大分類４,検索大分類５,検索大分類６,検索大分類７,検索大分類８,高度専門看護別分類,観察名称,名称ふりがな,焦点,部位,位相,その他,評価基準,結果管理番号,表現タイプ,単位,結果１,結果２,結果３,結果４,結果５,結果６,結果７,結果８,結果９,結果１０,結果１１,結果１２,結果１３,結果１４,結果１５,結果１６,結果１７,結果１８,更新日付,移行先観察名称管理番号,観察名称２,単位コード,観察結果グループコード,採択区分,観察名称交換用コード
0,31000033,0,0,2,6,3,0,0,0,T00,便量,べんりょう,排便,,,便量,,31000033R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20081215,,便量　ｍＬ,U016,,,
0,31000034,0,0,2,6,3,0,0,0,T00,便量（コロストミー）,べんりょう（ころすとみー）,排便,コロストミー,,便量,,31000034R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20081215,,便量（コロストミー）ｍＬ,U016,,,
0,31000035,0,0,2,6,3,0,0,0,T00,便量（コロストミー）,べんりょう（ころすとみー）,排便,コロストミー,,便量,,31000035R,数値型,g,9999,,,,,,,,,,,,,,,,,,20081215,,便量（コロストミー）ｇ,U007,,,
0,31000036,0,0,2,6,3,0,0,0,T00,便量（イレオストミー）,べんりょう（いれおすとみー）,排便,イレオストミー,,便量,,31000036R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20081215,,便量（イレオストミー）ｍＬ,U016,,,
0,31000037,0,0,2,6,3,0,0,0,T00,便量（イレオストミー）,べんりょう（いれおすとみー）,排便,イレオストミー,,便量,,31000037R,数値型,g,9999.9,,,,,,,,,,,,,,,,,,20081215,,便量（イレオストミー）ｇ,U007,,,
0,31000038,0,0,0,6,3,0,0,0,T00,便性状,べんせいじょう,排便,,,便性状,,31000038R,列挙型,,普通便,硬便,軟便,泥状便,水様便,粘液便,脂肪性便,不消化便,胎便,タール便,血便,顆粒便,移行便,,,,,,20151218,,便性状,,R7069,,
0,31000039,0,0,4,8,4,0,0,0,T00,嘔吐量,おうとりょう,嘔気・嘔吐,,,嘔吐量,,31000039R,列挙型,,少量,中等量,多量,,,,,,,,,,,,,,,,20081215,,嘔吐量,,R7031,,
0,31000040,0,0,4,8,4,0,0,0,T00,嘔吐量,おうとりょう,嘔気・嘔吐,,,嘔吐量,,31000040R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20081215,,嘔吐量　ｍＬ,U016,,,
0,31000041,0,0,0,8,4,0,0,0,T00,嘔吐回数,おうとかいすう,嘔気・嘔吐,,,嘔吐回数,,31000041R,数値型,回/日,99,,,,,,,,,,,,,,,,,,20081215,,嘔吐回数,U026,,,
0,31000042,0,0,5,0,0,0,0,4,T00,胸腔ドレーン排液量（右）,きょうくうどれーんはいえきりょう(みぎ),胸腔ドレーン排液量,,右,,,31000042R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20150320,,胸腔ドレーン排液量（右）ｍＬ,U016,,,
0,31000043,0,0,6,0,0,0,0,4,T00,胸腔ドレーン排液性状（右）,きょうくうどれーんはいえきせいじょう（みぎ）,胸腔ドレーン排液性状,,右,,,31000043R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,胸腔ドレーン排液性状（右）,,R7133,,
0,31000044,0,0,6,0,0,0,0,4,T00,胸腔ドレーン排液性状（右）,きょうくうどれーんはいえきせいじょう（みぎ）,胸腔ドレーン排液性状,,右,,,31000044R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000045,0,0,7,0,0,0,0,4,T00,胸腔ドレーン排液色調（右）,きょうくうどれーんはいえきしきちょう（みぎ）,胸腔ドレーン排液色調,,右,,,31000045R,列挙型,,透明,白色,乳白色,灰白色,黒色,淡褐色,褐色,茶褐色,茶色,淡黄色,黄色,黄金色,黄茶色,緑黄色,緑茶色,緑色,緑黒色,食物残さ色,20150320,,胸腔ドレーン排液色調（右）,,R7044,,
0,31000046,0,0,7,0,0,0,0,4,T00,胸腔ドレーン排液色調（右）,きょうくうどれーんはいえきしきちょう（みぎ）,胸腔ドレーン排液色調,,右,,,31000046R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000047,0,0,5,0,0,0,0,4,T00,胸腔ドレーン排液量（左）,きょうくうどれーんはいえきりょう（ひだり）,胸腔ドレーン排液量,,左,,,31000047R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20150320,,胸腔ドレーン排液量（左）ｍＬ,U016,,,
0,31000048,0,0,6,0,0,0,0,4,T00,胸腔ドレーン排液性状（左）,きょうくうどれーんはいえきせいじょう（ひだり）,胸腔ドレーン排液性状,,左,,,31000048R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,胸腔ドレーン排液性状（左）,,R7133,,
0,31000049,0,0,6,0,0,0,0,4,T00,胸腔ドレーン排液性状（左）,きょうくうどれーんはいえきせいじょう（ひだり）,胸腔ドレーン排液性状,,左,,,31000049R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000050,0,0,7,0,0,0,0,4,T00,胸腔ドレーン排液色調（左）,きょうくうどれーんはいえきしきちょう（ひだり）,胸腔ドレーン排液色調,,左,,,31000050R,列挙型,,透明,白色,乳白色,灰白色,黒色,淡褐色,褐色,茶褐色,茶色,淡黄色,黄色,黄金色,黄茶色,緑黄色,緑茶色,緑色,緑黒色,食物残さ色,20150320,,胸腔ドレーン排液色調（左）,,R7044,,
0,31000051,0,0,7,0,0,0,0,4,T00,胸腔ドレーン排液色調（左）,きょうくうどれーんはいえきしきちょう（ひだり）,胸腔ドレーン排液色調,,左,,,31000051R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000052,0,0,5,0,0,0,0,4,T00,心嚢ドレーン排液量,しんのうどれーんはいえきりょう,心嚢ドレーン排液量,,,,,31000052R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20150320,,心嚢ドレーン排液量　ｍＬ,U016,,,
0,31000053,0,0,6,0,0,0,0,4,T00,心嚢ドレーン排液性状,しんのうどれーんはいえきせいじょう,心嚢ドレーン排液性状,,,,,31000053R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,心嚢ドレーン排液性状,,R7133,,
0,31000054,0,0,6,0,0,0,0,4,T00,心嚢ドレーン排液性状,しんのうどれーんはいえきせいじょう,心嚢ドレーン排液性状,,,,,31000054R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000055,0,0,7,0,0,0,0,4,T00,心嚢ドレーン排液色調,しんのうどれーんはいえきしきちょう,心嚢ドレーン排液色調,,,,,31000055R,列挙型,,透明,白色,乳白色,灰白色,黒色,淡褐色,褐色,茶褐色,茶色,淡黄色,黄色,黄金色,黄茶色,緑黄色,緑茶色,緑色,緑黒色,食物残さ色,20150320,,心嚢ドレーン排液色調,,R7044,,
0,31000056,0,0,7,0,0,0,0,4,T00,心嚢ドレーン排液色調,しんのうどれーんはいえきしきちょう,心嚢ドレーン排液色調,,,,,31000056R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000057,0,0,5,0,0,0,0,4,T00,胸骨下ドレーン排液量,きょうこつかどれーんはいえきりょう,胸骨下ドレーン排液量,,,,,31000057R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20150320,,胸骨下ドレーン排液量　ｍＬ,U016,,,
0,31000058,0,0,6,0,0,0,0,4,T00,胸骨下ドレーン排液性状,きょうこつかどれーんはいえきせいじょう,胸骨下ドレーン排液性状,,,,,31000058R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,胸骨下ドレーン排液性状,,R7133,,
0,31000059,0,0,6,0,0,0,0,4,T00,胸骨下ドレーン排液性状,きょうこつかどれーんはいえきせいじょう,胸骨下ドレーン排液性状,,,,,31000059R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000060,0,0,7,0,0,0,0,4,T00,胸骨下ドレーン排液色調,きょうこつかどれーんはいえきしきちょう,胸骨下ドレーン排液色調,,,,,31000060R,列挙型,,透明,白色,乳白色,灰白色,黒色,淡褐色,褐色,茶褐色,茶色,淡黄色,黄色,黄金色,黄茶色,緑黄色,緑茶色,緑色,緑黒色,食物残さ色,20150320,,胸骨下ドレーン排液色調,,R7044,,
0,31000061,0,0,7,0,0,0,0,4,T00,胸骨下ドレーン排液色調,きょうこつかどれーんはいえきしきちょう,胸骨下ドレーン排液色調,,,,,31000061R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000062,0,0,5,0,0,0,0,5,T00,横隔膜下ドレーン排液量（右）,おうかくまくかどれーんはいえきりょう（みぎ）,横隔膜下ドレーン排液量,,右,,,31000062R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20150320,,横隔膜下ドレーン排液量（右）ｍＬ,U016,,,
0,31000063,0,0,6,0,0,0,0,5,T00,横隔膜下ドレーン排液性状（右）,おうかくまくかどれーんはいえきせいじょう（みぎ）,横隔膜下ドレーン排液性状,,右,,,31000063R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,横隔膜下ドレーン排液性状（右）,,R7133,,
0,31000064,0,0,6,0,0,0,0,5,T00,横隔膜下ドレーン排液性状（右）,おうかくまくかどれーんはいえきせいじょう（みぎ）,横隔膜下ドレーン排液性状,,右,,,31000064R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000065,0,0,7,0,0,0,0,5,T00,横隔膜下ドレーン排液色調（右）,おうかくまくかどれーんはいえきしきちょう（みぎ）,横隔膜下ドレーン排液色調,,右,,,31000065R,列挙型,,透明,白色,乳白色,灰白色,黒色,淡褐色,褐色,茶褐色,茶色,淡黄色,黄色,黄金色,黄茶色,緑黄色,緑茶色,緑色,緑黒色,食物残さ色,20150320,,横隔膜下ドレーン排液色調（右）,,R7044,,
0,31000066,0,0,7,0,0,0,0,5,T00,横隔膜下ドレーン排液色調（右）,おうかくまくかどれーんはいえきしきちょう（みぎ）,横隔膜下ドレーン排液色調,,右,,,31000066R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000067,0,0,5,0,0,0,0,5,T00,横隔膜下ドレーン排液量（左）,おうかくまくかどれーんはいえきりょう（ひだり）,横隔膜下ドレーン排液量,,左,,,31000067R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20150320,,横隔膜下ドレーン排液量（左）ｍＬ,U016,,,
0,31000068,0,0,6,0,0,0,0,5,T00,横隔膜下ドレーン排液性状（左）,おうかくまくかどれーんはいえきせいじょう（ひだり）,横隔膜下ドレーン排液性状,,左,,,31000068R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,横隔膜下ドレーン排液性状（左）,,R7133,,
0,31000069,0,0,6,0,0,0,0,5,T00,横隔膜下ドレーン排液性状（左）,おうかくまくかどれーんはいえきせいじょう（ひだり）,横隔膜下ドレーン排液性状,,左,,,31000069R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000070,0,0,7,0,0,0,0,5,T00,横隔膜下ドレーン排液色調（左）,おうかくまくかどれーんはいえきしきちょう（ひだり）,横隔膜下ドレーン排液色調,,左,,,31000070R,列挙型,,透明,白色,乳白色,灰白色,黒色,淡褐色,褐色,茶褐色,茶色,淡黄色,黄色,黄金色,黄茶色,緑黄色,緑茶色,緑色,緑黒色,食物残さ色,20150320,,横隔膜下ドレーン排液色調（左）,,R7044,,
0,31000071,0,0,7,0,0,0,0,5,T00,横隔膜下ドレーン排液色調（左）,おうかくまくかどれーんはいえきしきちょう（ひだり）,横隔膜下ドレーン排液色調,,左,,,31000071R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000072,0,0,5,0,0,0,0,5,T00,経鼻胃管排液量,けいびいかんはいえきりょう,経鼻胃管排液量,,,,,31000072R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20150320,,経鼻胃管排液量　ｍＬ,U016,,,
0,31000073,0,0,6,0,0,0,0,5,T00,経鼻胃管排液性状,けいびいかんはいえきせいじょう,経鼻胃管排液性状,,,,,31000073R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,経鼻胃管排液性状,,R7133,,
0,31000074,0,0,6,0,0,0,0,5,T00,経鼻胃管排液性状,けいびいかんはいえきせいじょう,経鼻胃管排液性状,,,,,31000074R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000075,0,0,7,0,0,0,0,5,T00,経鼻胃管排液色調,けいびいかんはいえきしきちょう,経鼻胃管排液色調,,,,,31000075R,列挙型,,透明,白色,乳白色,灰白色,黒色,淡褐色,褐色,茶褐色,茶色,淡黄色,黄色,黄金色,黄茶色,緑黄色,緑茶色,緑色,緑黒色,食物残さ色,20150320,,経鼻胃管排液色調,,R7044,,
0,31000076,0,0,7,0,0,0,0,5,T00,経鼻胃管排液色調,けいびいかんはいえきしきちょう,経鼻胃管排液色調,,,,,31000076R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000077,0,0,5,0,0,0,0,2,T00,脳室ドレーン排液量,のうしつどれーんはいえきりょう,脳室ドレーン排液量,,,,,31000077R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20150320,,脳室ドレーン排液量　ｍＬ,U016,,,
0,31000078,0,0,6,0,0,0,0,2,T00,脳室ドレーン排液性状,のうしつどれーんはいえきせいじょう,脳室ドレーン排液性状,,,,,31000078R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,脳室ドレーン排液性状,,R7133,,
0,31000079,0,0,6,0,0,0,0,2,T00,脳室ドレーン排液性状,のうしつどれーんはいえきせいじょう,脳室ドレーン排液性状,,,,,31000079R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000080,0,0,7,0,0,0,0,2,T00,脳室ドレーン排液色調,のうしつどれーんはいえきしきちょう,脳室ドレーン排液色調,,,,,31000080R,列挙型,,透明,白色,乳白色,灰白色,黒色,淡褐色,褐色,茶褐色,茶色,淡黄色,黄色,黄金色,黄茶色,緑黄色,緑茶色,緑色,緑黒色,食物残さ色,20150320,,脳室ドレーン排液色調,,R7044,,
0,31000081,0,0,7,0,0,0,0,2,T00,脳室ドレーン排液色調,のうしつどれーんはいえきしきちょう,脳室ドレーン排液色調,,,,,31000081R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000087,0,0,5,0,0,0,0,1,T00,硬膜下ドレーン排液量,こうまくかどれーんはいえきりょう,硬膜下ドレーン排液量,,,,,31000087R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20150320,,硬膜下ドレーン排液量　ｍＬ,U016,,,
0,31000088,0,0,6,0,0,0,0,1,T00,硬膜下ドレーン排液性状,こうまくかどれーんはいえきせいじょう,硬膜下ドレーン排液性状,,,,,31000088R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,硬膜下ドレーン排液性状,,R7133,,
0,31000089,0,0,6,0,0,0,0,1,T00,硬膜下ドレーン排液性状,こうまくかどれーんはいえきせいじょう,硬膜下ドレーン排液性状,,,,,31000089R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000090,0,0,7,0,0,0,0,1,T00,硬膜下ドレーン排液色調,こうまくかどれーんはいえきしきちょう,硬膜下ドレーン排液色調,,,,,31000090R,列挙型,,透明,白色,乳白色,灰白色,黒色,淡褐色,褐色,茶褐色,茶色,淡黄色,黄色,黄金色,黄茶色,緑黄色,緑茶色,緑色,緑黒色,食物残さ色,20150320,,硬膜下ドレーン排液色調,,R7044,,
0,31000091,0,0,7,0,0,0,0,1,T00,硬膜下ドレーン排液色調,こうまくかどれーんはいえきしきちょう,硬膜下ドレーン排液色調,,,,,31000091R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000092,0,0,5,0,0,0,0,1,T00,硬膜外ドレーン排液量,こうまくがいどれーんはいえきりょう,硬膜外ドレーン排液量,,,,,31000092R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20150320,,硬膜外ドレーン排液量　ｍＬ,U016,,,
0,31000093,0,0,6,0,0,0,0,1,T00,硬膜外ドレーン排液性状,こうまくがいどれーんはいえきせいじょう,硬膜外ドレーン排液性状,,,,,31000093R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,硬膜外ドレーン排液性状,,R7133,,
0,31000094,0,0,6,0,0,0,0,1,T00,硬膜外ドレーン排液性状,こうまくがいどれーんはいえきせいじょう,硬膜外ドレーン排液性状,,,,,31000094R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000095,0,0,7,0,0,0,0,1,T00,硬膜外ドレーン排液色調,こうまくがいどれーんはいえきしきちょう,硬膜外ドレーン排液色調,,,,,31000095R,列挙型,,透明,白色,乳白色,灰白色,黒色,淡褐色,褐色,茶褐色,茶色,淡黄色,黄色,黄金色,黄茶色,緑黄色,緑茶色,緑色,緑黒色,食物残さ色,20150320,,硬膜外ドレーン排液色調,,R7044,,
0,31000096,0,0,7,0,0,0,0,1,T00,硬膜外ドレーン排液色調,こうまくがいどれーんはいえきしきちょう,硬膜外ドレーン排液色調,,,,,31000096R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000097,0,0,5,0,0,0,0,5,T00,ＳＢチューブ排液量,えすびーちゅーぶはいえきりょう,ＳＢチューブ排液量,,,,,31000097R,数値型,mL,999.9,,,,,,,,,,,,,,,,,,20150320,,ＳＢチューブ排液量　ｍＬ,U016,,,
0,31000098,0,0,6,0,0,0,0,5,T00,ＳＢチューブ排液性状,えすびーちゅーぶはいえきせいじょう,ＳＢチューブ排液性状,,,,,31000098R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,ＳＢチューブ排液性状,,R7133,,
0,31000099,0,0,6,0,0,0,0,5,T00,ＳＢチューブ排液性状,えすびーちゅーぶはいえきせいじょう,ＳＢチューブ排液性状,,,,,31000099R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000100,0,0,7,0,0,0,0,5,T00,ＳＢチューブ排液色調,えすびーちゅーぶはいえきしきちょう,ＳＢチューブ排液色調,,,,,31000100R,列挙型,,透明,白色,乳白色,灰白色,黒色,淡褐色,褐色,茶褐色,茶色,淡黄色,黄色,黄金色,黄茶色,緑黄色,緑茶色,緑色,緑黒色,食物残さ色,20150320,,ＳＢチューブ排液色調,,R7044,,
0,31000101,0,0,7,0,0,0,0,5,T00,ＳＢチューブ排液色調,えすびーちゅーぶはいえきしきちょう,ＳＢチューブ排液色調,,,,,31000101R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000102,0,0,5,0,0,0,0,2,T00,下顎部ドレーン排液量（右）,かがくぶどれーんはいえきりょう（みぎ）,下顎部ドレーン排液量,,右,,,31000102R,数値型,mL,9999.9,,,,,,,,,,,,,,,,,,20150320,,下顎部ドレーン排液量（右）ｍＬ,U016,,,
0,31000103,0,0,6,0,0,0,0,2,T00,下顎部ドレーン排液性状（右）,かがくぶどれーんはいえきせいじょう（みぎ）,下顎部ドレーン排液性状,,右,,,31000103R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,下顎部ドレーン排液性状（右）,,R7133,,
0,31000104,0,0,6,0,0,0,0,2,T00,下顎部ドレーン排液性状（右）,かがくぶどれーんはいえきせいじょう（みぎ）,下顎部ドレーン排液性状,,右,,,31000104R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000105,0,0,7,0,0,0,0,2,T00,下顎部ドレーン排液色調（右）,かがくぶどれーんはいえきしきちょう（みぎ）,下顎部ドレーン排液色調,,右,,,31000105R,列挙型,,透明,白色,乳白色,灰白色,黒色,淡褐色,褐色,茶褐色,茶色,淡黄色,黄色,黄金色,黄茶色,緑黄色,緑茶色,緑色,緑黒色,食物残さ色,20150320,,下顎部ドレーン排液色調（右）,,R7044,,
0,31000106,0,0,7,0,0,0,0,2,T00,下顎部ドレーン排液色調（右）,かがくぶどれーんはいえきしきちょう（みぎ）,下顎部ドレーン排液色調,,右,,,31000106R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
0,31000107,0,0,5,0,0,0,0,2,T00,下顎部ドレーン排液量（左）,かがくぶどれーんはいえきりょう（ひだり）,下顎部ドレーン排液量,,左,,,31000107R,数値型,mL,9999.9,,,,,,,,,,,,,,,,,,20150320,,下顎部ドレーン排液量（左）ｍＬ,U016,,,
0,31000108,0,0,6,0,0,0,0,2,T00,下顎部ドレーン排液性状（左）,かがくぶどれーんはいえきせいじょう（ひだり）,下顎部ドレーン排液性状,,左,,,31000108R,列挙型,,血性,淡血性,淡淡血性,暗血性,漿液性,胆汁様,胃液様,膿性,乳び様,,,,,,,,,,20181207,,下顎部ドレーン排液性状（左）,,R7133,,
0,31000109,0,0,6,0,0,0,0,2,T00,下顎部ドレーン排液性状（左）,かがくぶどれーんはいえきせいじょう（ひだり）,下顎部ドレーン排液性状,,左,,,31000109R,文字型,,コメント,,,,,,,,,,,,,,,,,,20150320,,,,,,
